species,day,cell_density,growth_rate,PO4,DIN,C,N,P,RNA,DNA,protein,chlorophyll_a,carbohydrate,lipid
Thalassiosira pseudonana,0,193516.6667,0.935507879,6.6785,35.462,14.19212655,2.630103983,0.417713124,0.906964028,0.135624023,12.69150901,0.760456338,5.56666536,5.331934451
Thalassiosira pseudonana,0,186433.3333,0.654394194,16.3985,35.848,15.53406504,2.782079562,0.429821729,1.039035511,0.147376392,13.13646026,0.810987602,7.058612658,6.217187068
Thalassiosira pseudonana,0,182466.6667,0.69937773,5.8575,36.71,15.48083455,2.686122982,0.407235036,0.997672865,0.145382318,13.53621159,0.806294946,7.873599389,6.202876407
Thalassiosira pseudonana,1,126366.6667,0.636718299,20.3688,5.8592,16.92335336,3.199042127,0.49829702,0.678681014,0.151472891,13.69288373,0.96178449,5.777019767,6.297810604
Thalassiosira pseudonana,1,110783.3333,0.542396835,22.4074,10.4296,16.99387902,3.41649298,0.531660744,0.877501572,0.185689379,14.32350434,1.025693729,5.600210953,
Thalassiosira pseudonana,1,110500,0.561342219,16.641,5.7484,17.72974111,3.415256042,0.535220202,0.787039138,0.18013658,15.89994972,1.019758709,6.440388037,7.956259427
Thalassiosira pseudonana,2,218450,0.547369422,,,18.26978312,2.186551088,0.425173343,,,,,,
Thalassiosira pseudonana,2,238000,0.764694332,,,17.52372334,2.038239175,0.398018031,,,,,,
Thalassiosira pseudonana,2,243666.6667,0.79078565,,,16.65468163,1.961520927,0.391716602,,,,,,
Thalassiosira pseudonana,3,290062.5,0.283539262,17.6278,0,21.1790957,1.572453393,0.412099591,0.364410005,0.225173656,8.951348821,0.384750273,30.84740157,11.34238311
Thalassiosira pseudonana,3,318750,0.292136423,17.76535,0,20.12223632,1.404744365,0.379140089,0.375785266,0.249239532,7.5708061,0.41654073,30.77910234,9.568627451
Thalassiosira pseudonana,3,314287.5,0.254507001,17.5356,0,19.33619835,1.45597151,0.394868638,0.381956427,0.248274548,7.96063799,0.380897688,21.07876501,9.959034324
Thalassiosira pseudonana,5,352466.6667,-0.011191164,,,26.38289689,1.29512615,0.425247879,,,,,,
Thalassiosira pseudonana,5,313366.6667,-0.056253846,,,27.24805212,1.408263984,0.47531626,,,,,,
Thalassiosira pseudonana,5,375700,0.035306814,,,23.38809562,1.160314727,0.402741206,,,,,,
Thalassiosira pseudonana,7,364933.3333,0.000721853,12.84065,0,25.76458562,1.119310906,0.403455248,0.251838491,0.281493827,6.343116957,0.211745992,31.36523821,13.94775301
Thalassiosira pseudonana,7,307133.3333,-0.003109984,15.2583,0,27.57707986,1.397576027,0.496641151,0.333208068,0.340912142,7.750383876,0.333532747,30.17535427,15.66095073
Thalassiosira pseudonana,7,333200,-0.063234024,13.3572,0,26.88109572,1.365017614,0.450096559,0.308017231,0.333225461,6.495653817,0.227198196,34.83037733,14.55582233
Thalassiosira pseudonana,10,316200,-0.048428664,12.01265,,33.41314134,1.286005985,0.632809529,0.2389657,0.298754685,6.467559346,0.197867753,36.41034093,17.39360017
Thalassiosira pseudonana,10,258900,-0.044473258,15.3509,,35.38463771,1.704864005,0.82778783,0.30573185,0.33658458,8.375974659,0.220418334,34.63124081,22.32972136
Thalassiosira pseudonana,10,312030,-0.070404133,12.5923,,32.1209693,1.359503586,0.707125021,0.302569874,0.340586475,6.888113282,0.204177109,36.80755866,17.51462311
Thalassiosira weissflogii,0,17212.5,0.484285019,7.807,39.439,140.0123006,27.78028212,4.956349787,8.978898262,2.284963647,104.0001776,6.764794445,69.26929126,56.951271
Thalassiosira weissflogii,0,17595,0.496436886,6.444,38.84,137.2313809,26.1203549,4.911814881,8.869182257,2.128193475,100.3724411,6.392937757,77.3487356,53.31078264
Thalassiosira weissflogii,0,17850,0.557118908,7.6735,45.632,140.0636694,25.98130354,4.812242474,8.344703913,2.273609564,104.2890297,7.133747808,74.5168116,56.94709446
