station_name,year,month,mean_max,mean_min
CALGARY INT'L A,1881,10,10.666666666666666,-6.2
CALGARY INT'L A,1881,11,1.2566666666666666,-10.633333333333333
CALGARY INT'L A,1881,12,0.4,-14.816129032258065
CALGARY INT'L A,1882,1,-4.053333333333334,-18.59
CALGARY INT'L A,1882,2,-2.480952380952381,-19.10952380952381
CALGARY INT'L A,1882,3,-1.603448275862069,-15.341379310344827
CALGARY INT'L A,1882,4,9.8625,-2.075
CALGARY INT'L A,1882,6,20.817857142857143,7.432142857142857
CALGARY INT'L A,1884,7,19.461290322580645,7.04516129032258
CALGARY INT'L A,1884,8,21.59032258064516,6.7612903225806456
CALGARY INT'L A,1884,9,13.296666666666667,-0.05333333333333334
CALGARY INT'L A,1884,10,10.73225806451613,-4.054838709677419
CALGARY INT'L A,1884,11,7.1899999999999995,-6.256666666666667
CALGARY INT'L A,1884,12,-9.751612903225807,-21.919354838709676
CALGARY INT'L A,1885,1,-4.306451612903226,-20.767741935483873
CALGARY INT'L A,1885,2,-0.39285714285714274,-15.460714285714285
CALGARY INT'L A,1885,3,11.870967741935484,-4.332258064516129
CALGARY INT'L A,1885,4,12.033333333333333,-3.31
CALGARY INT'L A,1885,5,17.43225806451613,1.0903225806451613
CALGARY INT'L A,1885,6,21.186666666666667,5.523333333333333
CALGARY INT'L A,1885,7,21.01290322580645,6.616129032258065
CALGARY INT'L A,1885,8,21.335483870967742,6.516129032258065
CALGARY INT'L A,1885,9,18.586666666666666,1.8033333333333332
CALGARY INT'L A,1885,10,13.851612903225806,-2.92258064516129
CALGARY INT'L A,1885,11,8.475999999999999,-6.608
CALGARY INT'L A,1885,12,2.3555555555555556,-9.114814814814814
CALGARY INT'L A,1886,1,-11.851612903225806,-25.625806451612902
CALGARY INT'L A,1886,2,3.6678571428571427,-9.407142857142857
CALGARY INT'L A,1886,3,5.577419354838709,-9.803225806451612
CALGARY INT'L A,1886,4,12.053333333333333,-1.5033333333333334
CALGARY INT'L A,1886,5,17.696774193548386,1.5516129032258066
CALGARY INT'L A,1886,6,21.506666666666668,6.843333333333334
CALGARY INT'L A,1886,7,26.261290322580646,9.261290322580646
CALGARY INT'L A,1886,8,24.2,5.580645161290323
CALGARY INT'L A,1886,9,17.093333333333334,2.3366666666666664
CALGARY INT'L A,1886,10,12.167741935483871,-2.503225806451613
CALGARY INT'L A,1886,11,4.2,-9.416666666666666
CALGARY INT'L A,1886,12,-4.912903225806452,-15.187096774193549
CALGARY INT'L A,1887,1,-9.706451612903226,-21.919354838709676
CALGARY INT'L A,1887,2,-13.225,-26.84285714285714
